schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
202,6073,6091,6103,18,12,1.2000173417267985
203,6103,6122,6133,19,11,1.2000173417267985
204,6133,6151,6163,18,12,1.2000173417267985
205,6163,6180,6191,17,11,1.1200161856116786
206,6191,6209,6220,18,11,1.1600167636692387
207,6220,6238,6249,18,11,1.1600167636692387
208,6249,6266,6276,17,10,1.0800156075541187
209,6276,6293,6304,17,11,1.1200161856116786
210,6304,6324,6335,20,11,1.2400179197843584
211,6335,6353,6365,18,12,1.2000173417267985
212,6365,6388,6400,23,12,1.4000202320145982
213,6400,6420,6432,20,12,1.2800184978419185
214,6432,6452,6464,20,12,1.2800184978419185
215,6464,6482,6494,18,12,1.2000173417267985
216,6494,6513,6524,19,11,1.2000173417267985
217,6524,6543,6554,19,11,1.2000173417267985
218,6554,6572,6584,18,12,1.2000173417267985
219,6584,6601,6612,17,11,1.1200161856116786
220,6612,6629,6641,17,12,1.1600167636692387
221,6641,6657,6669,16,12,1.1200161856116786
222,6669,6685,6697,16,12,1.1200161856116786
223,6697,6716,6728,19,12,1.2400179197843584
224,6728,6746,6758,18,12,1.2000173417267985
225,6758,6776,6788,18,12,1.2000173417267985
226,6788,6807,6818,19,11,1.2000173417267985
227,6818,6836,6848,18,12,1.2000173417267985
228,6848,6867,6879,19,12,1.2400179197843584
229,6879,6899,6911,20,12,1.2800184978419185
230,6911,6931,6942,20,11,1.2400179197843584
231,6942,6962,6974,20,12,1.2800184978419185
232,6974,6993,7005,19,12,1.2400179197843584
233,7005,7024,7036,19,12,1.2400179197843584
234,7036,7055,7066,19,11,1.2000173417267985
235,7066,7086,7097,20,11,1.2400179197843584
236,7097,7116,7128,19,12,1.2400179197843584
237,7128,7148,7160,20,12,1.2800184978419185
238,7160,7178,7190,18,12,1.2000173417267985
239,7190,7206,7219,16,13,1.1600167636692387
240,7219,7235,7247,16,12,1.1200161856116786
241,7247,7265,7276,18,11,1.1600167636692387
242,7276,7294,7306,18,12,1.2000173417267985
243,7306,7324,7336,18,12,1.2000173417267985
244,7336,7354,7365,18,11,1.1600167636692387
245,7365,7384,7395,19,11,1.2000173417267985
246,7395,7414,7425,19,11,1.2000173417267985
247,7425,7444,7455,19,11,1.2000173417267985
248,7455,7472,7484,17,12,1.1600167636692387
249,7484,7502,7513,18,11,1.1600167636692387
250,7513,7531,7543,18,12,1.2000173417267985
251,7543,7561,7573,18,12,1.2000173417267985
252,7573,7590,7602,17,12,1.1600167636692387
253,7602,7620,7632,18,12,1.2000173417267985
254,7632,7649,7660,17,11,1.1200161856116786
255,7660,7677,7689,17,12,1.1600167636692387
256,7689,7707,7719,18,12,1.2000173417267985
257,7719,7737,7748,18,11,1.1600167636692387
258,7748,7767,7779,19,12,1.2400179197843584
259,7779,7797,7808,18,11,1.1600167636692387
260,7808,7827,7839,19,12,1.2400179197843584
261,7839,7857,7868,18,11,1.1600167636692387
262,7868,7886,7897,18,11,1.1600167636692387
263,7897,7916,7928,19,12,1.2400179197843584
264,7928,7947,7958,19,11,1.2000173417267985
265,7958,7978,7990,20,12,1.2800184978419185
266,7990,8010,8021,20,11,1.2400179197843584
267,8021,8041,8052,20,11,1.2400179197843584
268,8052,8072,8083,20,11,1.2400179197843584
269,8083,8101,8112,18,11,1.1600167636692387
270,8112,8131,8143,19,12,1.2400179197843584
271,8143,8161,8173,18,12,1.2000173417267985
272,8173,8192,8203,19,11,1.2000173417267985
273,8203,8222,8234,19,12,1.2400179197843584
274,8234,8253,8264,19,11,1.2000173417267985
275,8264,8283,8294,19,11,1.2000173417267985
276,8294,8313,8324,19,11,1.2000173417267985
277,8324,8343,8354,19,11,1.2000173417267985
278,8354,8373,8385,19,12,1.2400179197843584
279,8385,8403,8414,18,11,1.1600167636692387
280,8414,8431,8442,17,11,1.1200161856116786
281,8442,8459,8471,17,12,1.1600167636692387
282,8471,8488,8499,17,11,1.1200161856116786
283,8499,8516,8527,17,11,1.1200161856116786
284,8527,8545,8556,18,11,1.1600167636692387
285,8556,8575,8586,19,11,1.2000173417267985
286,8586,8604,8616,18,12,1.2000173417267985
287,8616,8634,8646,18,12,1.2000173417267985
288,8646,8663,8674,17,11,1.1200161856116786
289,8674,8692,8703,18,11,1.1600167636692387
290,8703,8722,8733,19,11,1.2000173417267985
291,8733,8754,8766,21,12,1.3200190758994783
292,8766,8786,8798,20,12,1.2800184978419185
293,8798,8818,8829,20,11,1.2400179197843584
294,8829,8849,8861,20,12,1.2800184978419185
295,8861,8880,8891,19,11,1.2000173417267985
296,8891,8911,8923,20,12,1.2800184978419185
297,8923,8942,8953,19,11,1.2000173417267985
298,8953,8972,8983,19,11,1.2000173417267985
299,8983,9001,9012,18,11,1.1600167636692387
300,9012,9031,9042,19,11,1.2000173417267985
301,9042,9060,9072,18,12,1.2000173417267985
302,9072,9089,9101,17,12,1.1600167636692387
303,9101,9119,9130,18,11,1.1600167636692387
304,9130,9148,9159,18,11,1.1600167636692387
305,9159,9178,9189,19,11,1.2000173417267985
306,9189,9207,9218,18,11,1.1600167636692387
307,9218,9237,9248,19,11,1.2000173417267985
308,9248,9267,9278,19,11,1.2000173417267985
309,9278,9298,9309,20,11,1.2400179197843584
310,9309,9328,9340,19,12,1.2400179197843584
311,9340,9361,9372,21,11,1.2800184978419185
312,9372,9394,9405,22,11,1.3200190758994783
313,9405,9426,9437,21,11,1.2800184978419185
314,9437,9456,9467,19,11,1.2000173417267985
315,9467,9486,9497,19,11,1.2000173417267985
316,9497,9515,9526,18,11,1.1600167636692387
317,9526,9544,9555,18,11,1.1600167636692387
318,9555,9574,9586,19,12,1.2400179197843584
319,9586,9604,9615,18,11,1.1600167636692387
320,9615,9633,9644,18,11,1.1600167636692387
321,9644,9662,9674,18,12,1.2000173417267985
322,9674,9691,9702,17,11,1.1200161856116786
323,9702,9720,9731,18,11,1.1600167636692387
324,9731,9750,9762,19,12,1.2400179197843584
325,9762,9781,9793,19,12,1.2400179197843584
326,9793,9812,9823,19,11,1.2000173417267985
327,9823,9842,9854,19,12,1.2400179197843584
