nose_x_norm,nose_y_norm,left_eye_inner_x_norm,left_eye_inner_y_norm,left_eye_x_norm,left_eye_y_norm,left_eye_outer_x_norm,left_eye_outer_y_norm,right_eye_inner_x_norm,right_eye_inner_y_norm,right_eye_x_norm,right_eye_y_norm,right_eye_outer_x_norm,right_eye_outer_y_norm,left_ear_x_norm,left_ear_y_norm,right_ear_x_norm,right_ear_y_norm,mouth_left_x_norm,mouth_left_y_norm,mouth_right_x_norm,mouth_right_y_norm,left_shoulder_x_norm,left_shoulder_y_norm,right_shoulder_x_norm,right_shoulder_y_norm,left_elbow_x_norm,left_elbow_y_norm,right_elbow_x_norm,right_elbow_y_norm,left_wrist_x_norm,left_wrist_y_norm,right_wrist_x_norm,right_wrist_y_norm,left_pinky_x_norm,left_pinky_y_norm,right_pinky_x_norm,right_pinky_y_norm,left_index_x_norm,left_index_y_norm,right_index_x_norm,right_index_y_norm,left_thumb_x_norm,left_thumb_y_norm,right_thumb_x_norm,right_thumb_y_norm,left_hip_x_norm,left_hip_y_norm,right_hip_x_norm,right_hip_y_norm,left_knee_x_norm,left_knee_y_norm,right_knee_x_norm,right_knee_y_norm,left_ankle_x_norm,left_ankle_y_norm,right_ankle_x_norm,right_ankle_y_norm,left_heel_x_norm,left_heel_y_norm,right_heel_x_norm,right_heel_y_norm,left_foot_index_x_norm,left_foot_index_y_norm,right_foot_index_x_norm,right_foot_index_y_norm,phase
-0.22719795402103296,-1.5381824895749239,-0.18562483564669477,-1.6018336586437116,-0.1663475854921887,-1.6015925057195002,-0.14677802876288093,-1.5999422017507563,-0.21296655400062472,-1.603423966073888,-0.2169863834935909,-1.6048929908390994,-0.2206925360991438,-1.6060256174075116,-0.09247606441692609,-1.5481810938835818,-0.17321679000002851,-1.567043833664157,-0.19480375336702227,-1.4392197651359273,-0.22766760962693283,-1.448125658689959,-0.01560287414496035,-1.110347725730646,-0.25489707243070786,-1.052627002638397,-0.33028809642338497,-0.7765490923610706,-0.5694973047302405,-0.7431346435066912,-0.7581942174609233,-0.590609564046721,-0.8564620382863788,-0.5290569228310213,-0.8459920589213809,-0.5395359907197735,-0.920932709716664,-0.49243447072713753,-0.8575775931682795,-0.606029718410619,-0.9226933041493456,-0.48930126357177367,-0.8268683311275901,-0.6000253974741042,-0.8995165860326741,-0.49320343352748774,-0.042217756234320385,0.05216964631288022,-0.20255872048724438,0.011809968677634777,-0.48967795894720634,-0.4011202302989709,-0.6156650403160625,-0.4534728291175088,-0.6346286135831554,0.569305174120073,-0.7193287422580464,0.45365567443233384,-0.6269505304611794,0.7872916969174398,-0.6985170054037201,0.6009462554813594,-0.8830506373475844,0.5741670430570898,-0.9480188440444753,0.46538944987073905,0
-0.24850268188008792,-1.5368549510173477,-0.21239864408386713,-1.6015182623058584,-0.19672781840939343,-1.6013652312166975,-0.1801488772668173,-1.5998748975478188,-0.23509710934243874,-1.6029407390913009,-0.2382031737444282,-1.6042704269619272,-0.24063300285193942,-1.605365839710102,-0.11015004985401142,-1.5481175970351901,-0.19004824472150897,-1.5665897759301057,-0.2186589175001663,-1.4388164311898564,-0.24561179441887687,-1.4468872859194861,-0.03117495423702207,-1.1088007116061913,-0.26586593805908576,-1.057790512309747,-0.36427082364818775,-0.7664910441943438,-0.5757241716808481,-0.7431975262656401,-0.798646254148375,-0.5729763541486417,-0.8739818872733061,-0.5290822233160671,-0.8610282845656023,-0.5170141375849686,-0.9358004292177645,-0.4930925289741071,-0.8886064273550337,-0.5917394886215848,-0.9390929311746065,-0.4893664798706055,-0.8579595568017389,-0.5852524933829815,-0.9210657214899877,-0.4932878094169368,-0.059135674749355625,0.05367711307721468,-0.2143804335338672,0.012405881072986805,-0.49275823159259563,-0.40237039358674676,-0.6314707200321885,-0.4581087131395528,-0.6382910430203765,0.5688686793440876,-0.7272195459630294,0.44624435176433663,-0.6261522141854605,0.7895490897093957,-0.6982185579344897,0.6026531784967349,-0.9091915652049445,0.5730916496247521,-0.9504121962390807,0.46873157025456413,0
-0.2808828812948014,-1.535975759162004,-0.24539293294144132,-1.6013598272296004,-0.23084466276851695,-1.6012955320649327,-0.21448286365293637,-1.5998742220494317,-0.2672456742193052,-1.6026822688448008,-0.26996780990161806,-1.6039385730270053,-0.27185871411407475,-1.6050065359770842,-0.1416611898891884,-1.5484428802130734,-0.22080798491440162,-1.5666038385783474,-0.2512407838879152,-1.4386067810540637,-0.27690775751327545,-1.446029034514144,-0.0654377062477693,-1.1090612083478528,-0.2918330786041163,-1.0602549760618356,-0.40881343293242317,-0.7618071383778681,-0.5919039546855648,-0.7423549955500353,-0.8257569520539008,-0.5231566286461271,-0.8880731520828534,-0.5277745812564396,-0.8848192149430232,-0.4809834220682254,-0.9570362562413305,-0.4849287011028283,-0.9007305180433212,-0.5056658874987914,-0.9587806387127206,-0.48004840948252575,-0.8724229598136599,-0.5161717296872523,-0.9348569421977533,-0.4849603881180799,-0.08783723276555633,0.05477117482861531,-0.23783668516492892,0.012938173802058462,-0.5373443184093856,-0.4173089790095534,-0.6559596244703647,-0.4685397592338733,-0.638264514356445,0.554328515151809,-0.7231962775691831,0.43795930263703714,-0.627496333157994,0.7452727496075847,-0.6938202037089443,0.5929328795235814,-0.9066497261830555,0.561516309262605,-0.9482562510230853,0.46725014088260697,0
-0.31231025952997216,-1.5359866285451427,-0.27709468633968226,-1.6014323511928021,-0.2625275022119178,-1.6014037346247647,-0.24672182249579186,-1.6001270426730574,-0.2982215738960848,-1.602685277883071,-0.3006985650728077,-1.6039322479057438,-0.3022067687444736,-1.6050019917152072,-0.17288469042932947,-1.5488425296224873,-0.24983648414998136,-1.5667491321405282,-0.2837381515683265,-1.4387209402814916,-0.30731992308150896,-1.4460268237921496,-0.09557819864648122,-1.1103209514309373,-0.31844968014391634,-1.064143881685584,-0.4446767476670425,-0.7588012933729534,-0.6181182048224024,-0.7421253260984053,-0.850869894183912,-0.5031298209176652,-0.9127343700186965,-0.522588595911481,-0.9153249677423486,-0.45641652827080587,-0.9823320742074257,-0.46880123851864336,-0.9249791906914503,-0.467672664940554,-0.9829615158863579,-0.4601812650092077,-0.8994336839578879,-0.48247872986159124,-0.9546833111320654,-0.46642336137799817,-0.11880871099834733,0.0549175737517933,-0.27042248172511213,0.017495454375416317,-0.5796956109257169,-0.4584209162123032,-0.6849682272079958,-0.49599348750218103,-0.6370751459235124,0.5152451610146053,-0.7154744712788755,0.4302234951074323,-0.616302465157752,0.709618225283538,-0.6875270150985078,0.5858516913400661,-0.8859455777991183,0.5616997991881317,-0.9421375866323098,0.4624297843919276,0
-0.3409838150675784,-1.535989269129747,-0.3051784703763651,-1.601865714112629,-0.29049485489023424,-1.601922394568205,-0.2749804992058014,-1.6008908471220875,-0.32607077576559484,-1.602896340424582,-0.32814910007601256,-1.604072874388159,-0.32931832637521935,-1.6051383809804665,-0.20155726342382713,-1.5497336962219666,-0.27490115884978383,-1.5670546416383513,-0.31305625538515935,-1.4387756556508504,-0.3360516942982984,-1.4459923119654607,-0.12610286540064677,-1.1112323829820312,-0.34567914294769136,-1.0644408553401514,-0.4746627351619307,-0.753376427234722,-0.6455581774871901,-0.7421882088573543,-0.8487671291136685,-0.5103510214941529,-0.9464973760408436,-0.5203663290356566,-0.9322453426151553,-0.43226058312854865,-1.014592034909227,-0.4620813805633073,-0.9503627006299861,-0.44788019374348775,-1.0150697964957727,-0.45647695467198335,-0.9259057288428385,-0.4678732265525923,-0.9854762121548726,-0.46431445541332594,-0.13699607520966423,0.05786544871330182,-0.2919097169665853,0.025940658029413855,-0.6040884717750297,-0.4633865662651634,-0.7074615865926519,-0.4968405624796631,-0.6408318994991571,0.5049969907563687,-0.7180229424667475,0.42890099208328747,-0.6194625694307131,0.7023478975516215,-0.6896360438810686,0.5986127155984886,-0.8860176718997101,0.550691877471188,-0.9494978170586611,0.47509329124682387,0
-0.3676991621897905,-1.5356733815203394,-0.33136275294839124,-1.6018009890853515,-0.3162694169859837,-1.6018866545626305,-0.30031537326046265,-1.6008999970547861,-0.35302438959163684,-1.6027371684409926,-0.3555109605636684,-1.6039245103787638,-0.3570159709702314,-1.6050599617586132,-0.22770592880816734,-1.5501265292385646,-0.3030488081885242,-1.5672273235896839,-0.3384508189336666,-1.4385665581955565,-0.36286234810204243,-1.4451453598058674,-0.15309406150059185,-1.111462666523104,-0.368377608206263,-1.064172252617844,-0.5013112693527595,-0.7485480875812854,-0.6683902686085282,-0.7432459165137375,-0.8795741541936614,-0.504953543745073,-0.9690826032061518,-0.515803521657313,-0.9654673358381423,-0.4179257704459627,-1.0334515814246992,-0.46034805170188864,-0.9735577186120549,-0.43157059223055033,-1.025373971711198,-0.45476020622552193,-0.9511622450845907,-0.4502131195369156,-1.0059377952088797,-0.46255607170263857,-0.16165962668539008,0.06316479496941255,-0.3146774515143116,0.02943482695929126,-0.6000057595231146,-0.4594563938308549,-0.7211744494875086,-0.5056543426172656,-0.6408576912557572,0.5028579944089963,-0.7173361448338521,0.416570812977976,-0.620790230806178,0.6950257406707276,-0.6911631615075746,0.6012365969699439,-0.8819178879612835,0.5511895355556823,-0.9546986633681369,0.47435048865673957,0
-0.3914511592965339,-1.5383264321403305,-0.3555315939689485,-1.603889998552075,-0.34076519922592,-1.604425607364138,-0.3256934792119012,-1.6039721023105855,-0.37551824024784725,-1.6045109657966956,-0.377587967306065,-1.6056734985209753,-0.3788117247477978,-1.6068585683278078,-0.25191284337418196,-1.5534646580410112,-0.324106426455772,-1.5692982788267873,-0.36410624767750105,-1.4427542183332565,-0.3871242850821374,-1.4477550557111925,-0.17556285730753357,-1.111655244972385,-0.395532152098009,-1.0639165457738369,-0.5134820308387044,-0.7460317946802194,-0.6894100589660959,-0.7381990838365311,-0.9051900355773755,-0.5046505520139655,-0.9862240502783883,-0.5090804704368741,-0.9902002794209114,-0.4120134401079884,-1.0406323749158466,-0.45563958230769847,-0.9973342792965127,-0.4307488177381142,-1.0387166614898984,-0.453577838412238,-0.9749321736030657,-0.4491850109916782,-1.0225223859743302,-0.45865734064780456,-0.1798732739248614,0.06513479390210969,-0.3332890287127567,0.035697065461807564,-0.6165716819695021,-0.4523429045426451,-0.736311754254025,-0.4945546759375584,-0.6457794953223972,0.5039414938219797,-0.7345129634579973,0.4148525907168517,-0.6347000935943043,0.6995066285173936,-0.7144221676095894,0.6189552881184694,-0.887558299493959,0.5530364709640301,-0.9683243255621073,0.46980229660713607,0
-0.41249231996671304,-1.5411643236826227,-0.37671743411186565,-1.605897763985508,-0.36144994238346284,-1.6067585945665102,-0.34562927888493106,-1.6064355221106212,-0.3978507081984739,-1.606374972891555,-0.4002486046549564,-1.6075570336601177,-0.40193661371549183,-1.6087309270390902,-0.2697764596312227,-1.55572137533458,-0.3483079370346895,-1.571442494934424,-0.3835114740718993,-1.4452385171743494,-0.4089011249048637,-1.4492551534022127,-0.19252327081201476,-1.1116042755486277,-0.4151284831270255,-1.063626572738918,-0.5240740911849429,-0.7431235898967197,-0.706845532063574,-0.7382249984110199,-0.9062116347745186,-0.5003769807632094,-1.001829414018253,-0.5036312863567053,-0.9989568264224392,-0.4065737130052397,-1.0675926209078714,-0.44819423908456674,-1.0126209306155327,-0.42773830565343385,-1.057820984057295,-0.4498268572773562,-0.9883190778216518,-0.4486414190168579,-1.0373554708308534,-0.4548239487096909,-0.1957315196972962,0.07130565589552833,-0.35090062266244737,0.04168026172148798,-0.6565430094410825,-0.45104214028477757,-0.7606545054048004,-0.4953103744059428,-0.6521291801615768,0.5015386846499543,-0.7530896603760879,0.4146698376986564,-0.6431118907826102,0.7043230548356387,-0.7312295500249097,0.6210829852200932,-0.8895623189817907,0.567183863548655,-0.9829675339628979,0.4725455569662834,0
-0.42981160734160206,-1.5456705120143346,-0.39327009222628734,-1.6111132870326683,-0.37881786564222636,-1.6118661606896154,-0.3622598035407075,-1.6115201212885635,-0.41499780489358473,-1.6112163312411802,-0.41687274278052705,-1.6124236924947888,-0.418340170913187,-1.6134187630280001,-0.2851856832030378,-1.5589466344974285,-0.3648293994054138,-1.5746883875025528,-0.40088259059576575,-1.44852469400993,-0.4269396338352311,-1.4530375759165688,-0.20727369922952885,-1.1118149082275288,-0.4331640444280672,-1.063130511286975,-0.5375354230440038,-0.7398482824442778,-0.7227347279439291,-0.7348255220732316,-0.9220374566243704,-0.49553881567868696,-1.0077494818832073,-0.49643649162626075,-1.014204544470782,-0.40060537771007654,-1.0785080607547206,-0.43288400673094085,-1.0300562808951224,-0.4265415681471869,-1.0776819876361843,-0.4379616666981788,-1.0037404603644355,-0.4479961338302999,-1.0533408331179603,-0.44721955632085825,-0.210229434535906,0.07929053810315748,-0.37015478305390187,0.05140031505886433,-0.676143025006756,-0.458675886148979,-0.8002293767320698,-0.49467000193492766,-0.6611759458338007,0.5026091653667492,-0.7542038642612144,0.41508029508226446,-0.6435697558712072,0.7010755042260142,-0.7390591904213837,0.6234816185839072,-0.8873217522405691,0.5916238864671796,-0.9807550925181594,0.47881074309812544,0
-0.44309141436135335,-1.5505122388176253,-0.40722564326896254,-1.6156585928618903,-0.39335139766852206,-1.6160737173252642,-0.37618219375346823,-1.61563838931922,-0.4277173167056699,-1.6166529878967146,-0.42904546935268906,-1.6181574456227792,-0.43023532905717593,-1.619372605812312,-0.2981655689388959,-1.5609486888990431,-0.37350476378259556,-1.5792255259421848,-0.4156440726232513,-1.4523175560448147,-0.44148913218704117,-1.4575898209564953,-0.22290817080898523,-1.1114228735272067,-0.44576982687533456,-1.060708665342221,-0.545891460910898,-0.7366015915598733,-0.73152455859326,-0.7272227263169504,-0.9402577360298247,-0.49392498862284906,-1.0246941746979514,-0.4807386460163012,-1.0314808455846707,-0.396552633022973,-1.0930961239235422,-0.4067207260178606,-1.0451280009091413,-0.42505227843036114,-1.0931393558203197,-0.4164669395655028,-1.0245591978384105,-0.44663801361846917,-1.0690426089003542,-0.4290738273737673,-0.22984394261243116,0.08130131257486056,-0.3879198993643077,0.05620077505159503,-0.7172919303939661,-0.46905387491543626,-0.822504857182399,-0.5003785773957607,-0.6764603864308265,0.4799487736536349,-0.7633034416255243,0.3962078526884922,-0.6489071756727753,0.6819638125853034,-0.7438218225044342,0.6191712019665793,-0.8920477845928251,0.5930949991364967,-0.9967830726126009,0.510940885291706,0
