nose_x_norm,nose_y_norm,left_eye_inner_x_norm,left_eye_inner_y_norm,left_eye_x_norm,left_eye_y_norm,left_eye_outer_x_norm,left_eye_outer_y_norm,right_eye_inner_x_norm,right_eye_inner_y_norm,right_eye_x_norm,right_eye_y_norm,right_eye_outer_x_norm,right_eye_outer_y_norm,left_ear_x_norm,left_ear_y_norm,right_ear_x_norm,right_ear_y_norm,mouth_left_x_norm,mouth_left_y_norm,mouth_right_x_norm,mouth_right_y_norm,left_shoulder_x_norm,left_shoulder_y_norm,right_shoulder_x_norm,right_shoulder_y_norm,left_elbow_x_norm,left_elbow_y_norm,right_elbow_x_norm,right_elbow_y_norm,left_wrist_x_norm,left_wrist_y_norm,right_wrist_x_norm,right_wrist_y_norm,left_pinky_x_norm,left_pinky_y_norm,right_pinky_x_norm,right_pinky_y_norm,left_index_x_norm,left_index_y_norm,right_index_x_norm,right_index_y_norm,left_thumb_x_norm,left_thumb_y_norm,right_thumb_x_norm,right_thumb_y_norm,left_hip_x_norm,left_hip_y_norm,right_hip_x_norm,right_hip_y_norm,left_knee_x_norm,left_knee_y_norm,right_knee_x_norm,right_knee_y_norm,left_ankle_x_norm,left_ankle_y_norm,right_ankle_x_norm,right_ankle_y_norm,left_heel_x_norm,left_heel_y_norm,right_heel_x_norm,right_heel_y_norm,left_foot_index_x_norm,left_foot_index_y_norm,right_foot_index_x_norm,right_foot_index_y_norm,phase,GOOD,BAD
-0.22010704427207223,-1.4621732293369778,-0.1769048268197725,-1.5386298869110064,-0.15781754488975092,-1.5373020864221154,-0.13869548564637255,-1.5341381503851141,-0.2121186554200907,-1.5396668104839668,-0.2190341441680531,-1.5405217194590521,-0.22513336540021556,-1.542923885762487,-0.09116022814407299,-1.4833672702765184,-0.18518129441304682,-1.4944650973832678,-0.1895878864821001,-1.3789972217324629,-0.2232791083401646,-1.380241093638018,0.030719864559105733,-1.019060356390237,-0.2334993745819028,-1.029381490165351,-0.16409838098055446,-0.4697795410713817,-0.39746547954968026,-0.5750672576502585,-0.5264186248822177,-0.18455746959108937,-0.6377111576108304,-0.35188764670568395,-0.6055675261971438,-0.09441840426976751,-0.7174610002408492,-0.24157867236229438,-0.6363918182690588,-0.13095830115562948,-0.7186204438890265,-0.26519460007414636,-0.613865246593025,-0.17881454926282003,-0.6799604633525126,-0.2984843504948773,0.05027843904599712,0.010561246606117156,-0.10304394258483937,-0.09126992481648036,-0.4121640910529723,-0.23679246126736547,-0.5081853192024021,-0.3867429092131165,-0.5888443687201227,0.5899532858266617,-0.6578995212608671,0.5124439816031359,-0.5563069941609595,0.6499983826565614,-0.6152967794131355,0.5906001971536627,-0.8245490090831888,0.8638697990449431,-0.8292784572068916,0.6760112800618064,0,0,1
-0.2405445120880881,-1.46414406035114,-0.20103415295447416,-1.5393563796571736,-0.18526017628855343,-1.538302433855166,-0.16801622521285386,-1.5355757459169401,-0.22914008498887123,-1.5403324845712631,-0.23416347469596532,-1.5412065976853813,-0.23849451604979519,-1.5433755244736858,-0.10342795874228884,-1.4840936464320758,-0.19253782878250741,-1.497962890631754,-0.21028198688633512,-1.3814652284188955,-0.24032598797350893,-1.3818393010628995,0.014726431053726534,-1.0231769376450333,-0.25024085344048164,-1.0294379866437544,-0.18730377649910257,-0.46979659661203177,-0.42579073517712446,-0.575273789587818,-0.5498791872784603,-0.18458185368436256,-0.6632145873623599,-0.34732475659614204,-0.6195707913029167,-0.09295642464466841,-0.735167249740654,-0.23922833891286646,-0.654499139466963,-0.13233433684542156,-0.734932402940687,-0.25778290169039564,-0.6284135561443382,-0.1792309442982224,-0.7035922473873127,-0.2927432956163666,0.04338973282671178,0.02001654520041698,-0.11235546830131547,-0.06618975229053667,-0.4142619225529322,-0.2834506908902992,-0.5242920121574107,-0.38642551626133137,-0.5893137958272339,0.5650099573651526,-0.656142001095441,0.5105642744785212,-0.5502941832265438,0.6470221908131224,-0.6094098197142198,0.5888611982394112,-0.8245705950018241,0.7860011292500636,-0.8240351442978995,0.6882115879758899,0,0,1
-0.2660200267164442,-1.464990624769716,-0.22936393895990353,-1.539750755723104,-0.21279927808915797,-1.5394644341688606,-0.19404857659415284,-1.537970067337908,-0.2573928545685526,-1.540456661898721,-0.261999715993833,-1.541270614258124,-0.26633635369693864,-1.5433738838772464,-0.12544293082202584,-1.4863967357007868,-0.22141952142366048,-1.4994717146983358,-0.23378238995956507,-1.3814654616001152,-0.2652658520283234,-1.381549556741465,-0.01081757223005255,-1.0246045396960095,-0.2737962872815904,-1.029356106723993,-0.21453414636465837,-0.4777567372248116,-0.4607058919464493,-0.5754831197000155,-0.5857675758361304,-0.20196944439147452,-0.7009052668796627,-0.34472245418289144,-0.647603437811083,-0.09380746947382518,-0.7746400333862732,-0.23689199633662805,-0.68426818658436,-0.14021133169753228,-0.7703530299713874,-0.2511760116310707,-0.657330026098848,-0.1859629527377851,-0.7306762460700239,-0.2861593239397901,0.027574716266101786,0.029330069613063007,-0.13613622182398114,-0.0498238950654936,-0.431112996584829,-0.32292347453591835,-0.581935075930287,-0.37136747256348,-0.5881609478764175,0.5428819923286089,-0.6589617616519801,0.5038138780341951,-0.5499044374734071,0.7227328017301212,-0.6112408252754938,0.6057123388945136,-0.8174088668857261,0.6613563067582245,-0.8453827517264964,0.6844662978462612,0,0,1
-0.28684537483583805,-1.4732188738178906,-0.2490081908892793,-1.5460091647773007,-0.23102658768046375,-1.5470078466302097,-0.21110238504088627,-1.546926682909909,-0.27917011505047906,-1.5459323482211698,-0.2839869728200136,-1.546418830868931,-0.28876598860873076,-1.547659379942104,-0.14498644846443706,-1.491954368566203,-0.246368712727268,-1.5063178653450031,-0.2547148681936673,-1.3852220776747068,-0.28790281835614306,-1.383899207303035,-0.03602326287546792,-1.032818847838399,-0.2969679714580723,-1.0280662814623307,-0.2507879632053975,-0.4889630269103826,-0.49859590809509985,-0.5763644780877495,-0.6419323372985197,-0.22586305762453562,-0.7386725630834795,-0.34475310085749705,-0.7127536043982213,-0.10185528622525936,-0.813810547547793,-0.23686414783666035,-0.7379478358522624,-0.14811564206396538,-0.8107330884317442,-0.24768522214707991,-0.7155431846425945,-0.1929487955909291,-0.7806491134211717,-0.2805544468936573,0.006020110537505646,0.05084083727233198,-0.15906513103902206,-0.01736267083040483,-0.4607163517897386,-0.3383094376520498,-0.6143697841295214,-0.3379566011548512,-0.5903116782016748,0.5462492623892978,-0.6602032850895357,0.4976837436346043,-0.5479238628154165,0.7143651935914981,-0.6115416956722742,0.6087916634603211,-0.8178980810849197,0.6928653521379581,-0.8472166220856141,0.6834792084311379,0,0,1
-0.31621581531374504,-1.473369275704678,-0.27867230645775487,-1.5460030437702803,-0.262145620814238,-1.5471335812751,-0.2431636035491661,-1.5473399466546454,-0.3051911404868151,-1.5459145181857539,-0.30935335863749147,-1.546380347639759,-0.3133568803122752,-1.5474967693528785,-0.17458114265261032,-1.492426960275583,-0.26843724986435913,-1.5063610788217772,-0.28426838924073994,-1.3852078203086946,-0.31600741792642684,-1.3837733061001307,-0.06771592181001243,-1.0355891073531296,-0.3218694605464241,-1.0276717388383863,-0.2945131728221626,-0.5057535404483304,-0.5367146417087962,-0.5856172421368296,-0.6816378358015246,-0.2517592311734566,-0.7773955691725518,-0.3490528293046647,-0.7585289432996907,-0.1171349187051504,-0.8559009569439657,-0.23705682214744173,-0.784445103810311,-0.16413492537314234,-0.8510826334639066,-0.24780554365650978,-0.7612492354101729,-0.21392191398048654,-0.8210285056494717,-0.2807798998216256,-0.015706249815293262,0.05241327817242263,-0.18498808711662013,-0.011438535382728356,-0.49467713113792117,-0.35167631789731657,-0.6317806263354102,-0.3426476743120914,-0.591463593427612,0.5400796870519537,-0.6674089845213722,0.459185257748621,-0.5443691816771936,0.7121730236323174,-0.6159319650559397,0.6103863565111037,-0.8169196526865325,0.6963745296267122,-0.8548738936054436,0.6861499994998115,0,0,1
-0.3406441463954684,-1.4742227356250401,-0.3022567880165333,-1.5465970479440831,-0.28490344163713277,-1.5478552771504592,-0.2654086921812679,-1.5480959035135176,-0.33036258680451897,-1.5463436882208423,-0.3345006873547448,-1.5467643721251092,-0.3384174656157536,-1.5477230883825204,-0.1980474346445401,-1.4923747859776473,-0.2970497847546281,-1.5064411349312836,-0.30966941912516327,-1.385191780771931,-0.3419374360638253,-1.3836894274841993,-0.09887905950593646,-1.0377564268565973,-0.35005374147068247,-1.024359699415193,-0.3445094915417043,-0.5192092960499535,-0.5849079366134429,-0.5890706560024427,-0.7423288446103405,-0.2687540114599714,-0.850593219395096,-0.3477350222966233,-0.8395522218827783,-0.14301283749571936,-0.9267406786716362,-0.2399393417637167,-0.867117106863975,-0.18472096293778978,-0.9135176379273989,-0.24760527430028265,-0.8360970758138181,-0.22632049255462725,-0.8886188137672737,-0.2761378613437544,-0.03855867559023148,0.058250403713501424,-0.20389482015929122,0.0001697587258214981,-0.5178522797210976,-0.345977901870431,-0.6536111853818682,-0.34474044244842084,-0.5956207482146578,0.5421331474969412,-0.6737073425152654,0.46091439642843424,-0.5512387004132476,0.7852314979782288,-0.619365458583059,0.605933394690908,-0.8172228548955112,0.7286254910247242,-0.8555758357003236,0.6853699750078929,0,0,1
-0.36677136922163345,-1.4741866924707756,-0.3288916796698609,-1.5467334423018797,-0.3113615153026271,-1.5480908901172914,-0.2917464443373323,-1.5483896202435896,-0.35905000617795474,-1.5463536067505856,-0.3633861108954151,-1.546765213243081,-0.36730182318513327,-1.5477048669357711,-0.2252799364526772,-1.4923543326535083,-0.3290215949209064,-1.5065780289631225,-0.33632216579760893,-1.3840566545938213,-0.3682186917414864,-1.3819784935953339,-0.12844377325156073,-1.0378020637524774,-0.37166257848868944,-1.0244193271842625,-0.3964337525867617,-0.5332044331246354,-0.5957192173126298,-0.6085845929415389,-0.8086484483265057,-0.27377526922448425,-0.8775321127358702,-0.3485451604775021,-0.9073273427730932,-0.16183482582078537,-0.9525818880758842,-0.259043545987977,-0.9263949042342382,-0.2030949768279685,-0.9517664200385522,-0.2592352875738791,-0.8928908269608848,-0.23781406150302303,-0.9248827573352738,-0.28023478875287966,-0.05590535964906552,0.061633663343549853,-0.20988011570976758,-0.00012444935039239416,-0.5419775418402538,-0.35442319266685884,-0.6570720610465156,-0.3427181616636843,-0.5979758119116879,0.5398751538105642,-0.6546945453291766,0.44609379783557074,-0.5511821373116386,0.7700784495891,-0.6043084142332927,0.5967050147351011,-0.8143593228928505,0.6588073029095055,-0.827088285943881,0.5955196546599204,0,0,1
-0.3859737760510431,-1.4775905719829772,-0.34256809132864435,-1.5509835989200826,-0.3228095139783485,-1.551657413530321,-0.30171740654347445,-1.5508769976270693,-0.3779395504335644,-1.5501233017932392,-0.38422185223489264,-1.5499988538090084,-0.38944804298002905,-1.5501565592647168,-0.24184526355547942,-1.492055319378586,-0.34758695065775325,-1.5074634930059057,-0.3508814681778567,-1.3846738686268976,-0.3892020701047162,-1.3822887412083114,-0.15390942764547852,-1.038758373246584,-0.3980504312954135,-1.026468856860116,-0.4325399324037486,-0.5468338754234254,-0.6189941674578915,-0.6317093743812331,-0.8529095083864294,-0.2890855483789809,-0.8935747807902353,-0.3692223385874984,-0.9541056274126342,-0.17266669309052257,-0.9779320511427827,-0.27489240713706453,-0.9757666304006762,-0.220088824389604,-0.9873208930894324,-0.28198391439439224,-0.9411317574575815,-0.2537580605897993,-0.9483352583236311,-0.30267015326035884,-0.07630831664454722,0.06282954988522543,-0.2337236282921691,0.0024469398954299303,-0.5808796311061519,-0.3681690257059446,-0.6842164869767644,-0.3440447629348734,-0.6030938731940311,0.5246758689167044,-0.6296186366883955,0.44435106802180196,-0.551149891680097,0.7663795292106137,-0.551325776943051,0.5879696465012105,-0.8021478222802154,0.7142250183667802,-0.776440925258587,0.6021766453699051,0,0,1
-0.40677027632238427,-1.484371814971526,-0.362206213923099,-1.5566948898814628,-0.3423871427020599,-1.55677965958277,-0.3209713797340683,-1.5549785220373853,-0.3956365393077818,-1.5563116149071763,-0.40144674907377215,-1.5558988133609295,-0.4064798657688933,-1.555316409952813,-0.2619728002187446,-1.4920579343394083,-0.3632549964266676,-1.5094552353787458,-0.3743264407439739,-1.388413862211676,-0.41043401964827975,-1.3866428675029039,-0.18247945693053363,-1.0412630060403305,-0.4202025139324078,-1.0264288163135116,-0.4908083882081964,-0.5532398965176724,-0.6408012085127499,-0.6428589010955781,-0.907782978876632,-0.2890587658503038,-0.9178053741975469,-0.38311740760727236,-0.9994235313840119,-0.17657481033479497,-1.007304390382051,-0.2854207390817948,-1.0211535560131224,-0.22602015514349225,-1.0182381911564549,-0.2961995742798232,-0.9863145828794747,-0.25918092303805695,-0.975953275311345,-0.31882161700957395,-0.10063511396083813,0.06968094710933873,-0.25614286998387753,0.017254213847160547,-0.5920334217056594,-0.4097176551936545,-0.7001241764164535,-0.38725803983931345,-0.6077036660403607,0.5008892525519402,-0.6111214364909433,0.4176354290432091,-0.5523916816104754,0.7296245726168672,-0.5358179599837594,0.5838680554676887,-0.7970498145827772,0.6649262446105446,-0.7432075380698481,0.6094329784380464,0,0,1
-0.4262535665868749,-1.502232830178089,-0.3789392982577641,-1.5677082470913304,-0.35881336055143487,-1.5651279095161974,-0.3380482398099616,-1.5605540432335223,-0.4124441083863797,-1.5705310056921244,-0.4179006155534979,-1.569903144437993,-0.42242259901476187,-1.5685666121452095,-0.28056520497709114,-1.4923688398565418,-0.3798756207901713,-1.5141136381815081,-0.3924628762827535,-1.4015344031539987,-0.43042364627581964,-1.4018212993333907,-0.20290413309106192,-1.0439907599498472,-0.44187997285224906,-1.0266426768036943,-0.5155142715647176,-0.5603773737869084,-0.6611579956267063,-0.6522169298096079,-0.9455458779488749,-0.28551507754101557,-0.9496090273927282,-0.390056081230806,-1.0485851612713875,-0.17421474989734004,-1.0412395531076557,-0.3208750774545614,-1.0661529344382186,-0.22093373988383966,-1.042864892833044,-0.32858191663940534,-1.031255599376409,-0.2590659313850803,-1.0019257657423546,-0.333450740509358,-0.12212815984740039,0.07582653809264359,-0.28234604326449997,0.019075692290024638,-0.5839498282927834,-0.4392491905828579,-0.7041290305553506,-0.4367953246718275,-0.6212831409349026,0.4654055999686813,-0.6168181203144816,0.3888318187990947,-0.5695005874482932,0.6111310707040201,-0.5463315015768322,0.5067510286791148,-0.8131872874588029,0.5961062053625896,-0.7612103274580648,0.5419500669277756,0,0,1
