nose_x_norm,nose_y_norm,left_eye_inner_x_norm,left_eye_inner_y_norm,left_eye_x_norm,left_eye_y_norm,left_eye_outer_x_norm,left_eye_outer_y_norm,right_eye_inner_x_norm,right_eye_inner_y_norm,right_eye_x_norm,right_eye_y_norm,right_eye_outer_x_norm,right_eye_outer_y_norm,left_ear_x_norm,left_ear_y_norm,right_ear_x_norm,right_ear_y_norm,mouth_left_x_norm,mouth_left_y_norm,mouth_right_x_norm,mouth_right_y_norm,left_shoulder_x_norm,left_shoulder_y_norm,right_shoulder_x_norm,right_shoulder_y_norm,left_elbow_x_norm,left_elbow_y_norm,right_elbow_x_norm,right_elbow_y_norm,left_wrist_x_norm,left_wrist_y_norm,right_wrist_x_norm,right_wrist_y_norm,left_pinky_x_norm,left_pinky_y_norm,right_pinky_x_norm,right_pinky_y_norm,left_index_x_norm,left_index_y_norm,right_index_x_norm,right_index_y_norm,left_thumb_x_norm,left_thumb_y_norm,right_thumb_x_norm,right_thumb_y_norm,left_hip_x_norm,left_hip_y_norm,right_hip_x_norm,right_hip_y_norm,left_knee_x_norm,left_knee_y_norm,right_knee_x_norm,right_knee_y_norm,left_ankle_x_norm,left_ankle_y_norm,right_ankle_x_norm,right_ankle_y_norm,left_heel_x_norm,left_heel_y_norm,right_heel_x_norm,right_heel_y_norm,left_foot_index_x_norm,left_foot_index_y_norm,right_foot_index_x_norm,right_foot_index_y_norm,phase,GOOD,BAD
-0.5086905056799019,-1.4845558971821942,-0.46911491119234233,-1.5690783660016345,-0.454319275408225,-1.5696899584269113,-0.43942000584920676,-1.5694688432606358,-0.49078049628109244,-1.570148014606861,-0.4937726024618499,-1.5711439581566622,-0.4964604439635881,-1.5726881907421457,-0.3651679376663821,-1.5106899868606336,-0.4227076557406305,-1.5262423916943502,-0.4842824543903279,-1.3758510230264118,-0.5030935160684475,-1.3764338991963283,-0.19386360505574085,-1.03320496285926,-0.461944015531532,-0.9753274139941711,-0.4908218476888115,-0.6315748207871298,-0.7272071699147605,-0.6327629079922429,-0.8812940015780847,-0.48251575874011493,-0.9895255680316258,-0.41480129706655144,-0.9861341144596557,-0.3952510151615529,-1.0509139024631828,-0.3519954006426011,-1.001472423656185,-0.41453110901055995,-1.0502245847067304,-0.35457271646815197,-0.9778030820822832,-0.4367671903724711,-1.0295387982508788,-0.37035721245908165,-0.1100302625510504,0.06817114807860129,-0.2671268130317532,0.027891048126198595,-0.5400621850804846,-0.4144241569128175,-0.6763357492186137,-0.38386176540219313,-0.6295826224245604,0.5619250793918851,-0.7180582985847223,0.44728315134728,-0.5995854944472314,0.7943337745755188,-0.6763737823034911,0.5707135298101992,-0.8483153605275312,0.5770847096661713,-0.9160485834879302,0.4359855383494704,0,1,0
-0.607767712807936,-1.4816997784240435,-0.5704419412070165,-1.5677620128559115,-0.5560623720561217,-1.568370159330545,-0.5382595700106579,-1.568827768813189,-0.5924250642661525,-1.569463674334671,-0.594428820751304,-1.5706791377032276,-0.5960093634463431,-1.5724839224456817,-0.46240398612850564,-1.509473566283565,-0.5313699660245784,-1.5256568353406001,-0.5777509301491602,-1.375873102636089,-0.5985236311379027,-1.37671685003248,-0.30999443903383495,-1.030981686555353,-0.5393370039117821,-0.9777719969060559,-0.6362761901073792,-0.6004960471912236,-0.7992982441608599,-0.6502863327799998,-1.0355005481193116,-0.4415869266721692,-1.1302735076383181,-0.41564172614010064,-1.1422749879619627,-0.3535422495980174,-1.2017287401768364,-0.3545785873470257,-1.1600918290656028,-0.37767858129798076,-1.2011731763564628,-0.3545224311143208,-1.1298514424984203,-0.39846276878886744,-1.1754958665799569,-0.3703371748942302,-0.16489719920414958,0.07005697647507254,-0.30846086336978523,0.028894968413599974,-0.5991479863433397,-0.39753938164427693,-0.7009480049907509,-0.3366456049439278,-0.6339023129975819,0.5810832886903622,-0.7088971749857302,0.44716649953661575,-0.6048820482137146,0.8179410890378418,-0.6729086874899967,0.5707183796666601,-0.8905536538399135,0.5766209102351496,-0.9189708772612113,0.45401296532575375,0,1,0
-0.7391413903869608,-1.4817254954260664,-0.7002570280728777,-1.5672204242798133,-0.6883833031786367,-1.566681452073648,-0.6739611063420068,-1.5653376589505805,-0.7154536704096286,-1.569601576174302,-0.7141457406988112,-1.5709111650465402,-0.7121271793886739,-1.5728091180841637,-0.5962702346728177,-1.502457483146098,-0.6398416003729329,-1.5189868149871768,-0.7126889969713259,-1.3764774202766745,-0.7278305040977847,-1.3778103650366058,-0.4399039704728816,-1.0181296945618326,-0.6587726321845585,-0.9777810584799697,-0.8199453593928261,-0.5453027662494282,-0.9094028762307121,-0.6255285813140363,-1.2085075632311253,-0.41155112747095474,-1.2706021899167477,-0.4076737948582858,-1.320490876540559,-0.3085156717040361,-1.3435865311462596,-0.3398567204322343,-1.337788272491679,-0.3392918397823438,-1.3505423739613704,-0.33888981220729747,-1.3062525913660377,-0.3675141755505954,-1.32916356854282,-0.3586897340922295,-0.24268123916850814,0.0810171415654464,-0.3851769138903382,0.05410860638688587,-0.6932589404554365,-0.3997256458857193,-0.7912737737629354,-0.34912888021862004,-0.6384808327522523,0.5641264037139164,-0.6749885101449029,0.4378356309614931,-0.6076143041904104,0.7151703333314458,-0.6214810648344683,0.5358448486457216,-0.8923734986629565,0.5751044366965147,-0.8471820256493053,0.5063408744937826,0,1,0
-0.8360352687129894,-1.450051019066183,-0.7914174826675393,-1.5367217190421885,-0.7781835006638241,-1.535873951370047,-0.763124185841597,-1.5360749013436694,-0.8110716536030418,-1.5422508744770913,-0.8119741097881696,-1.5453898164435917,-0.812549583545593,-1.5484858116548532,-0.6823003068986818,-1.4833136957892017,-0.7526176099581167,-1.497293917548884,-0.8042756007955366,-1.3573440983995098,-0.8312473117358902,-1.354379049312692,-0.521274862173463,-1.0164051877065863,-0.730549742038717,-0.9342921403396893,-0.9159347394889013,-0.544214101101763,-0.992045706602059,-0.5535537759951963,-1.290590235181241,-0.4057767352152736,-1.3413127142329182,-0.3547776867175248,-1.3990215391442893,-0.29867046308845735,-1.4162206616881756,-0.2704162203698052,-1.4238900715420435,-0.3263197500275159,-1.4285812866455283,-0.2799709481089378,-1.3836905047324515,-0.36682013556548365,-1.411456571109976,-0.30855880990097756,-0.28651296558389144,0.09153060935021325,-0.4135074780343483,0.11715954818991207,-0.758529840239528,-0.3951712477855517,-0.8067621732541485,-0.35521366328779724,-0.6383787305109707,0.576169618328685,-0.654332971478031,0.44635146839558537,-0.5960849191048916,0.8353862779832169,-0.5947113887040508,0.5661495596249114,-0.8994734332660761,0.5949194186620357,-0.859437485298138,0.5042625833724955,0,1,0
-0.8573238412758072,-1.4465512733045536,-0.8215727414910533,-1.5349989989761645,-0.8095845344587752,-1.533365363115659,-0.7958845833514111,-1.5323235373711817,-0.8369068389701295,-1.541520141499019,-0.8363736100150363,-1.5443848113198768,-0.8354052978842819,-1.5477317227890879,-0.7152331295684603,-1.4808365039740077,-0.7586661467316389,-1.496024659061952,-0.8293345538732808,-1.3514642855797054,-0.8438485150992626,-1.35245888903759,-0.5614143162885002,-0.9875540297598416,-0.7403717223944042,-0.9370741711590098,-0.9550885240921662,-0.5290988853024343,-1.0075087081607532,-0.5591751425167566,-1.3272887161372866,-0.37498218873353517,-1.3399071492538754,-0.3369692690487905,-1.4364672808787147,-0.2593998990467265,-1.4314695037957816,-0.260183789004166,-1.459472575000881,-0.2891427924432644,-1.4448371121077743,-0.26455912529868597,-1.4197985794782864,-0.32724785940076573,-1.419141934439044,-0.2905367432923615,-0.305520318820875,0.09135780130684414,-0.4126253146696752,0.09525963845742066,-0.7883120429989593,-0.3805817309010216,-0.8413990823309169,-0.3729208721098612,-0.6365909202661298,0.5786637208275913,-0.6588152598702935,0.44305560804701516,-0.5776462753518465,0.8059798114717018,-0.5954396329399918,0.5679654479861048,-0.8376580562103589,0.6422675462671574,-0.8597638295868344,0.501264095801658,0,1,0
-0.8125560925634747,-1.4772653504573818,-0.7749501779380389,-1.558451883798549,-0.7626741702131483,-1.5565211942298147,-0.7486846316239493,-1.5556910391942946,-0.7917750957676282,-1.5661832569500946,-0.7923596310989653,-1.5681592543883978,-0.792727199167579,-1.5703226094394525,-0.6685154833032524,-1.4992196296333558,-0.7287085833728065,-1.518659322048266,-0.7850046961482449,-1.3791480320251965,-0.8041945571415193,-1.3762981032154238,-0.5207965131730586,-0.9917631946566758,-0.7209620863267712,-0.9412834636836456,-0.895604141204908,-0.5387326146507585,-0.985527627146443,-0.5623081497904827,-1.2792949194838603,-0.39319161295490296,-1.3051505252992044,-0.37364043765529326,-1.3877567264914914,-0.2649338405241895,-1.3909663104461787,-0.2790913373002968,-1.4080164913455955,-0.2999715008979882,-1.4033326786546034,-0.2906020887267817,-1.3761801191193799,-0.33926503794400736,-1.3741586223698057,-0.3157741200367454,-0.29081861709873674,0.07662929774636944,-0.40948898907310755,0.08861507985041703,-0.7741514831556136,-0.38329050336222253,-0.8368478749257894,-0.36875892949961975,-0.6328652094817641,0.5860436708274258,-0.6765427615128121,0.44535163219783525,-0.5708855754453851,0.8036587722717677,-0.5933631286079272,0.5866136565893804,-0.8425167189895456,0.639046475810326,-0.8704369597514053,0.5000398899286916,0,1,0
-0.6539334964590168,-1.5618724365092844,-0.6093007779607793,-1.6310701246791657,-0.5938588349893493,-1.6262851031415033,-0.5767174002117872,-1.6203159508605776,-0.6341284694620207,-1.6390345461964364,-0.6378853214299773,-1.6410608928024715,-0.6407421421410366,-1.6431790676117592,-0.4998836768581571,-1.5402371630234148,-0.5763301774617267,-1.5785537092481707,-0.6304083743009254,-1.4490582662114218,-0.6563793556489177,-1.462816224154614,-0.36910040548934314,-1.0384200900883211,-0.6054170639580302,-1.017376945787984,-0.702633457738707,-0.6264758348575264,-0.8423690536230921,-0.6685793532114169,-1.0970562025987687,-0.48635301622308086,-1.1440800279600198,-0.44525214187857565,-1.1966093337989767,-0.3877699839428498,-1.2349819086286358,-0.36346454540576373,-1.2238776517502532,-0.41147429553439036,-1.2451138969144142,-0.3730260374183812,-1.190201780019548,-0.43688805390058816,-1.212384002449183,-0.39401060055778303,-0.22499534418931177,0.057659977594263286,-0.369155285444032,0.0642524640582133,-0.7108519223950666,-0.3930144655662794,-0.7771338896234492,-0.3719862537187297,-0.6334821622747081,0.6373365185244624,-0.7113859171169694,0.4915179263601224,-0.5718974086564858,0.8529866623353398,-0.6492776342565756,0.6443716182043682,-0.8664517816463827,0.6919359473054038,-0.9137269061489881,0.5529860281676806,0,1,0
-0.44593540512098917,-1.5651604477480563,-0.40198115601606793,-1.631848973338442,-0.38757172195959827,-1.6280560665165327,-0.3721070612394832,-1.6242567783045434,-0.4269877816951554,-1.6363476619032102,-0.42977338609292076,-1.6371671600172968,-0.43257124275963993,-1.638129154571872,-0.3044709630361033,-1.554896939012727,-0.3662305667425204,-1.5790552865084666,-0.4240954804552507,-1.454596929917544,-0.44731940100156137,-1.4649969365866866,-0.1612416837106649,-1.0580443961182489,-0.41877646419568554,-1.0189317076670996,-0.5153475718114626,-0.7093866836122376,-0.6872484367667916,-0.6628381441841523,-0.8960904031290117,-0.6077955916760488,-0.9822103253272036,-0.5369501647735849,-0.9983747692835026,-0.5378806990750651,-1.038724171132175,-0.5021348320301768,-1.001824804016408,-0.5441132751384975,-1.0346159598264082,-0.505229040452216,-0.9754344377123516,-0.5529292931619576,-1.017366424300889,-0.5085934369302464,-0.116634746028351,0.06311836341317788,-0.2708525238161189,0.07040055051698514,-0.6132962939177317,-0.43008038696313716,-0.6828605929477146,-0.40274723408864677,-0.6616243477835537,0.5901068295192272,-0.7287849047981645,0.4941547167412199,-0.6357697629906225,0.8498020934297665,-0.6774596396395209,0.6592512330819396,-0.968756185365725,0.6547071728337017,-0.946957484479904,0.4529140899539605,0,1,0
-0.25211293370689636,-1.5594073055213418,-0.2121784498412319,-1.6279044446882296,-0.19808068287627434,-1.624697540917376,-0.18071947302435346,-1.6217645264087603,-0.23558947274469108,-1.6323936887956794,-0.23862088828834194,-1.6333071847856457,-0.24119284374622554,-1.6343636877273071,-0.10328538849198758,-1.5530864748331017,-0.18505958404563128,-1.5772072359412694,-0.22887420833559993,-1.4500129859813056,-0.250472150689501,-1.459624827161655,0.021767905096102737,-1.0561549941433328,-0.24399018990173832,-1.0276757436104562,-0.267000206252564,-0.7030489422402851,-0.5034585315810293,-0.7354202025830148,-0.6299397250134429,-0.6697657812551092,-0.7439585741306269,-0.6791973481656959,-0.7316527015001616,-0.614185660446658,-0.8252851789840524,-0.6232449370599716,-0.7503828471520655,-0.6275994700228305,-0.8196703214803738,-0.6254953980856198,-0.7153393158993931,-0.6432564658399598,-0.7858421897823573,-0.637404348253103,-0.003983811688737215,0.0640291154054098,-0.15800478740643484,0.027473705214960033,-0.49015537530884584,-0.38653595072915997,-0.5897535591230193,-0.42344323076862644,-0.6444997598758029,0.6141457812065683,-0.7466277819733314,0.49286031557737237,-0.633154158824591,0.8560267565694997,-0.7472850651515817,0.6550150110911658,-0.914653356360817,0.6465992338535296,-0.9632628295291715,0.4077343586980568,0,1,0
-0.07243928037840196,-1.5528710391039975,-0.037729112943514005,-1.6138995269489373,-0.02495050693591476,-1.6113994897572566,-0.008691235523025604,-1.6091042951871468,-0.05884640899658192,-1.621221087229539,-0.061316772724390345,-1.6234980310240195,-0.06339940319093187,-1.6258539764276918,0.06861292390730943,-1.5458807367824539,-0.011778296788174925,-1.5706632480419283,-0.050044685286901175,-1.4448979827626012,-0.07418778126034944,-1.4569553002494466,0.1861308168332141,-1.0720218100662957,-0.07811539922684958,-1.044585151044706,-0.05073744899399687,-0.7342114396740421,-0.366470251753929,-0.7569254871529527,-0.4096360163005531,-0.6959576863276745,-0.6626650248778164,-0.6421667796698819,-0.5107233613038187,-0.6159968265791921,-0.7555185898885303,-0.58736097673375,-0.5228806751732193,-0.6403225579367329,-0.7573140578014673,-0.5944531260409719,-0.495192844638077,-0.6608336219321912,-0.7179408810072484,-0.6105769843563613,0.11936667177037914,0.0031720955119220744,-0.03384386740714574,-0.03585801775159058,-0.38058027098784036,-0.30064997029130447,-0.4690664126277336,-0.36664030799302644,-0.6376160267685971,0.6140242795394432,-0.7428918609648374,0.4957010551854298,-0.6267786396233644,0.8472020598555305,-0.7405335544468356,0.652432845409154,-0.9118562654609075,0.5639546166929602,-0.9597558727967516,0.4096258027177985,0,1,0
0.09319352798464937,-1.4972199572378555,0.12728291379254517,-1.5642165763413085,0.14194581666299644,-1.5629484026906901,0.15714118272173128,-1.5620612618417546,0.10679609907939117,-1.568855336418335,0.10440435407736957,-1.5703382438451488,0.10274110856689224,-1.571800730823706,0.23194281621825416,-1.5117395979010086,0.15300527618301665,-1.5255535844491042,0.11996065155903488,-1.4070515535450463,0.09611212055168404,-1.411333338660992,0.3487207231504704,-1.0709233175779072,0.07263090235734378,-1.0469377143116358,0.11613437006700675,-0.7650930283164731,-0.20710269217152014,-0.787897436278918,-0.19861671964300276,-0.7175031736551172,-0.5290586265375661,-0.665057974537416,-0.2726454391730239,-0.6576476491208003,-0.6068413902239086,-0.6311551805754624,-0.2885182536026622,-0.6707746790267731,-0.6056330101983408,-0.6383947399935346,-0.2626320171149337,-0.6850909447880733,-0.5718499311142898,-0.6432294087460202,0.22456848184169026,-0.028706266261020574,0.07641225886320802,-0.06992672785562686,-0.2949956197895672,-0.1981554011475751,-0.37554663049265724,-0.24116826758787996,-0.6243026602722854,0.6129555243288279,-0.7353038776483918,0.5058329158434066,-0.6259544192806187,0.8283950822670622,-0.7380764640103937,0.7171712820049619,-0.8661302872141472,0.4823376585908902,-0.9661576833251082,0.38556004919212106,0,1,0
0.23179476796839585,-1.4072595868616575,0.2668176235172087,-1.468651941568965,0.2818003616584746,-1.4709957623314849,0.2981982368639035,-1.4747105609388138,0.24121676279386234,-1.4696687522643281,0.2374736946284787,-1.4716804854870797,0.23505285048769184,-1.4736763928624328,0.36512523500158267,-1.4423298561387656,0.28890820918529353,-1.4481422814793241,0.2678350723515799,-1.3246111408670402,0.2381039207127894,-1.3335173917462328,0.48717391488435857,-1.0343644614368142,0.17618146393152814,-1.0310545620300677,0.31466094699254626,-0.7513064179318213,-0.08755960128979481,-0.7329112952591225,0.01740916041579103,-0.7088995282935228,-0.3784509287459125,-0.6583436035229361,-0.06575388087488569,-0.6503255145150917,-0.4414087022537692,-0.620518424334348,-0.07220929507991515,-0.6781906200666592,-0.4395098558215346,-0.6326078402132964,-0.04538729155084077,-0.692198537059289,-0.4037020892928694,-0.6377438382053643,0.29229034592774666,-0.01995202009353578,0.1278516232764837,-0.10875646547062437,-0.21090931898210158,-0.052586704218771915,-0.30438826022066523,-0.170550528683474,-0.5973831491027872,0.6471633487366104,-0.7309042920715674,0.4996758954385227,-0.6210070551793184,0.8481544185110846,-0.7551780789138561,0.6733742703516143,-0.8287241100982184,0.452336701779513,-0.9652068562031733,0.3192630218831494,0,1,0
0.3344210490033785,-1.2953328126683337,0.364013341594026,-1.3640155864726515,0.3806973583306466,-1.362750029191966,0.3996227745190017,-1.3635067344276643,0.33450400707441974,-1.3689316817625592,0.3285029478430934,-1.3708356333068579,0.32279696408907094,-1.3729130310335338,0.4625029503234844,-1.3527962093172239,0.36724870636463686,-1.3571716732395456,0.3711102131299071,-1.20824240866676,0.3323557759178548,-1.2109964889975295,0.594330472365006,-1.0169384166616795,0.2893620536477903,-0.9982706810047589,0.5065123346386977,-0.5388907454969434,0.06650451262484429,-0.6265114430141734,0.21358815155866326,-0.6220442147024999,-0.17986436675362003,-0.6071020622021435,0.1470345923684716,-0.6034445046638333,-0.2549268714766174,-0.5937214358543876,0.14560745829095798,-0.649490701064813,-0.2571863940761793,-0.6177453274611396,0.16384470537307502,-0.6549563616684189,-0.22816970287075686,-0.6170387799514709,0.3489565793278309,-0.05185080231473475,0.182777523973923,-0.14817048316135586,-0.15937321269521154,0.05683703352953355,-0.24825525577567414,-0.028585530360705075,-0.5958115403538601,0.6654279081682702,-0.7161183560003718,0.4945230505766433,-0.629536931671587,0.8546703282940735,-0.7561799571564318,0.6492980513462056,-0.8087823937257066,0.4692604035275422,-0.9617750722458969,0.32448886984754516,0,1,0
0.38564140410910513,-1.2141797816250868,0.4152086816506386,-1.2930909027053927,0.4342905695237578,-1.3002845161148882,0.4573702706542581,-1.3075779344652365,0.3833213859315839,-1.287258056916578,0.3763179379464754,-1.28721440820843,0.37104946229634456,-1.285585366948782,0.5277929942778162,-1.3037030267807979,0.41140996776375655,-1.2716665341616704,0.42924084792557277,-1.1444231474980897,0.3849266884201339,-1.1459420459649552,0.662488568276938,-0.9467117293413821,0.3522937910841202,-0.9164765755140653,0.6796185165523561,-0.347028126604251,0.21501758293660575,-0.46663783919841256,0.4092642891632236,-0.5429776429598429,0.0015156702822932229,-0.5241229325735753,0.327866850879909,-0.5657623962408409,-0.07510236208662942,-0.5298236835877321,0.3386381268239119,-0.6465229717941615,-0.0795986895370681,-0.5591535734182859,0.3503732479256132,-0.6457847725896955,-0.05550153957219654,-0.5544991151216623,0.3857292120366073,-0.05205730409772679,0.21951161308661557,-0.15741430957578595,-0.10616875578578011,0.13402530691601397,-0.20717467425162367,0.04636951175334343,-0.5920774061345886,0.6806761121368683,-0.7003981844214495,0.4884900843949165,-0.6305959871692804,0.8770039172964085,-0.7543224621319162,0.6561327753775962,-0.8148656452612647,0.5454409277925731,-0.9583571997189951,0.3215388808413164,0,1,0
